sp,tleaf,n,anet21p,anet21p.sd,anet21p.se,anet0p,anet0p.sd,anet0p.se,pr,pr.sd,pr.se,prp,prp.sd,prp.se,gsw.21p,gsw.21p.sd,gsw.21p.se,gsw.0p,gsw.0p.sd,gsw.0p.se,ETR.21p,ETR.21p.sd,ETR.21p.se,ETR.0p,ETR.0p.sd,ETR.0p.se,ETR.delta,ETR.delta.sd,ETR.delta.se
Acer platanoides,25,6,8.3146494,2.977529777,1.215571441,10.35532892,3.298446333,1.346585076,3.061019274,1.108078266,0.452371058,0.407084629,0.20932945,0.08545839,0.10434236,0.071321886,0.029117038,0.107861345,0.044378456,0.018117429,40.92920783,4.846695757,1.978655257,34.00718415,12.4101254,5.066412478,-6.922023677,10.39643813,4.244328094
Acer platanoides,30,8,9.393124293,3.003098568,1.061755681,12.74730104,3.806033389,1.345636009,5.031265125,1.974963159,0.698254921,0.556393,0.254454899,0.089963392,0.141496082,0.056850957,0.020099848,0.124459383,0.051224507,0.018110598,55.35211398,17.6461594,6.238859486,38.76991331,14.12837749,4.995135765,-16.58220067,8.158089817,2.884320315
Acer platanoides,35,7,8.008020912,3.58649358,1.355567156,12.24440114,4.537973738,1.715192852,6.354570344,2.376828983,0.898356914,0.907322241,0.459890839,0.173822399,0.102460555,0.060738825,0.022957118,0.100431041,0.047644047,0.018007757,62.43930747,21.81954655,8.247013412,37.68167297,17.69916155,6.689654269,-24.7576345,5.870283494,2.218758607
Betula pendula,25,6,17.24258154,3.180393947,1.298390392,20.75363266,3.702080682,1.511368109,5.266576678,4.468857356,1.824403376,0.326402531,0.28136446,0.11486656,0.290170947,0.209404267,0.085488934,0.197030197,0.026633137,0.010872933,135.9493682,40.86641935,16.68364584,91.43033825,15.15921013,6.188721619,-44.51902998,35.70629748,14.5770349
Betula pendula,30,8,14.26418419,3.796743596,1.342351572,20.93092456,4.280548654,1.51340249,10.00011057,2.8008857,0.990262636,0.760563376,0.395718275,0.139907538,0.168438752,0.042799666,0.015131967,0.232037034,0.176913132,0.062548238,125.9558058,50.08471921,17.70762229,83.14985467,23.54642899,8.324919805,-42.80595116,33.50244013,11.8449013
Betula pendula,35,8,14.55105921,3.369116057,1.191162405,21.5254321,3.978707914,1.406685673,10.46155934,2.142209505,0.757385434,0.742179705,0.189204445,0.066893873,0.17218117,0.040418819,0.01429021,0.15406627,0.052023921,0.018393234,139.3322442,47.17788341,16.67990064,87.88564346,27.21267771,9.621134472,-51.44660069,35.22611931,12.45431392
Betula pubescens,25,5,11.86085871,3.554543999,1.589640402,16.71205387,4.866904097,2.17654568,7.276792736,2.045528425,0.914788121,0.621478827,0.061842656,0.027656876,0.111245561,0.039963424,0.017872187,0.103781347,0.037170205,0.016623021,86.90992373,28.75898688,12.86140992,62.76263426,18.6442316,8.33795385,-24.14728948,13.7131074,6.132688068
Betula pubescens,30,5,10.15187471,3.744382058,1.674538563,14.45878246,5.45308908,2.438695574,6.460361626,2.583745759,1.155486231,0.627284281,0.044659938,0.019972532,0.107412747,0.038860129,0.017378778,0.109501745,0.030799106,0.013773779,88.34658816,21.95178598,9.817137134,53.43146303,18.39862466,8.228115086,-34.91512513,9.646469683,4.314032391
Betula pubescens,35,5,10.64135911,4.22345773,1.888787717,14.76859245,5.664758194,2.533356879,6.190850015,2.425132199,1.08455209,0.593167223,0.10601707,0.047412275,0.1121916,0.043296459,0.019362765,0.100348233,0.040940457,0.018309129,115.3976931,26.72751291,11.95290715,66.55832229,22.58793598,10.10163206,-48.83937077,13.05060651,5.836408661
Corylus avellana,25,7,8.253036399,3.03312956,1.146415216,10.56747635,3.046819194,1.151589411,3.471659924,2.396384523,0.905748213,0.504864099,0.43229845,0.163393456,0.189914583,0.078918041,0.029828216,0.214429726,0.058145042,0.02197676,41.46258823,20.80615496,7.863987394,36.71229367,11.72266554,4.430751102,-4.750294559,10.30054867,3.89324145
