sp,treeid,tleaf,anet.21p,anet.0p,anet.delta,pr.CO2,pr.real,pr.percent,gsw.21p,gsw.0p,gsw.delta,gsw.percent,E.21p,E.0p,E.delta,E.percent,ETR.21p,ETR.0p,ETR.delta,ETR.percent,JT,JO1,JC1,JO2,JC2,Rp.ETR,JO1.percent,JC1.percent,Rp.ETR.percent,JC2.percent,NPQ.21p,NPQ.0p,NPQ.delta,NPQ.percent,sla
Acer platanoides,1,25,4.548229394,6.830798378,2.282568984,1.388680731,3.671249715,0.80718218,0.030415138,0.045668858,0.01525372,0.501517369,0.000407591,0.000616977,0.000209386,0.513715955,41.76348469,18.8021544,-22.96133029,-0.549794407,60.56563909,48.88750457,11.67813452,28.24848101,3.531060126,32.31715808,0.80718218,0.19281782,0.058301376,0.533588988,-0.999235389,-0.999160598,7.48E-05,-7.48E-05,197
Acer platanoides,1,30,10.42569738,14.06804817,3.64235079,2.375577609,6.017928399,0.577220706,0.163419743,0.12324839,-0.040171353,-0.245817012,0.003624564,0.002790567,-0.000833997,-0.230095813,59.587367,47.07855936,-12.50880764,-0.209923819,106.6659264,61.56978128,45.09614508,43.30875789,5.413594737,63.35716847,0.577220706,0.422779294,0.050752803,0.593977577,-0.999182683,-0.999088316,9.44E-05,-9.44E-05,197
Acer platanoides,1,35,10.02979729,15.79742466,5.76762737,4.014470516,9.782097886,0.975303648,0.124532211,0.132293131,0.00776092,0.062320583,0.003515803,0.003830112,0.000314309,0.089398923,79.94928635,49.31898561,-30.63030074,-0.383121628,129.268272,126.0758172,3.192454736,59.43272187,7.429090233,69.83555009,0.975303648,0.024696352,0.05747033,0.540237361,-0.998823802,-0.998900124,-7.63E-05,7.64E-05,197
Acer platanoides,2,30,9.42240983,11.68267727,2.26026744,1.474169027,3.734436467,0.396335601,0.182659012,0.119748477,-0.062910535,-0.344415172,0.003872403,0.002645545,-0.001226858,-0.316820847,34.3184495,30.37773379,-3.94071571,-0.114827906,64.69618329,25.64140072,39.05478257,18.00436265,2.250545331,46.69182064,0.396335601,0.603664399,0.034786369,0.721709045,-0.999451667,-0.999255756,0.000195911,-0.000196018,197
Acer platanoides,2,35,4.348076438,9.221238328,4.87316189,3.391891236,8.265053126,1.900852766,0.073602448,0.091909783,0.018307335,0.248732692,0.002180884,0.002637027,0.000456143,0.209155095,40.5757486,17.51759257,-23.05815603,-0.568274322,58.09334117,110.4268883,-52.33354711,27.13402361,3.391752952,30.95931756,1.900852766,-0.900852766,0.058384539,0.532923687,-0.999272027,-0.999393073,-0.000121046,0.000121134,197
Acer platanoides,3,30,7.483388816,12.20624096,4.722852144,3.080291397,7.803143541,1.0427286,0.095568433,0.132108682,0.036540249,0.382346428,0.002127634,0.002968374,0.00084074,0.39515255,48.49470716,27.97166643,-20.52304073,-0.423201663,76.46637359,79.73367465,-3.267301065,31.02187888,3.877734861,45.44449471,1.0427286,-0.0427286,0.050711635,0.594306917,-0.999292835,-0.99935682,-6.40E-05,6.40E-05,197
Acer platanoides,4,25,7.641752092,9.385743149,1.743991057,1.061017999,2.805009056,0.367063603,0.060876178,0.098220784,0.037344606,0.613451883,0.000811307,0.001295769,0.000484462,0.597137705,43.84683566,30.56214726,-13.2846884,-0.30297941,74.40898292,27.31282937,47.09615355,29.22798303,3.653497879,45.18099989,0.367063603,0.632936397,0.049100226,0.607198192,-0.999305503,-0.999192549,0.000112954,-0.000113033,197
Acer platanoides,4,30,11.75780806,15.94409491,4.18628685,2.730338146,6.916624996,0.588258029,0.171886788,0.198171923,0.026285135,0.152921206,0.003720951,0.004337595,0.000616644,0.16572215,72.81464708,56.06034981,-16.75429727,-0.230095152,128.8749969,75.81175168,53.06324521,54.56250977,6.820313721,74.31248712,0.588258029,0.411741971,0.052921931,0.57662455,-0.99911522,-0.9991778,-6.26E-05,6.26E-05,197
Acer platanoides,4,35,14.23522548,19.64561599,5.41039051,3.765821159,9.176211669,0.644613019,0.221644356,0.186486955,-0.035157401,-0.158620782,0.006240397,0.005268359,-0.000972038,-0.15576541,100.7664443,67.24775985,-33.51868445,-0.332637364,168.0142042,108.3041433,59.71006083,74.04886815,9.256108519,93.965336,0.644613019,0.355386981,0.055091226,0.559270191,-0.999098893,-0.998976796,0.000122097,-0.000122207,197
Acer platanoides,5,25,11.12565617,13.02732127,1.9016651,1.156944522,3.058609622,0.274914987,0.167110706,0.153903667,-0.013207039,-0.079031675,0.002153281,0.002021408,-0.000131873,-0.06124282,43.16753823,46.20354464,3.03600641,0.070330775,89.37108287,24.56945009,64.80163278,29.91230546,3.739038183,59.45877741,0.274914987,0.725085013,0.041837226,0.665302193,-0.999295743,-0.998948506,0.000347237,-0.000347482,197
Acer platanoides,5,30,11.19484057,15.82135265,4.62651208,3.017457444,7.643969524,0.682811825,0.141080521,0.119938157,-0.021142364,-0.149860263,0.002801635,0.002413485,-0.00038815,-0.1385441,62.80696165,48.49585652,-14.31110513,-0.227858581,111.3028182,75.99888044,35.30393773,44.34897059,5.543621324,66.95384758,0.682811825,0.317188175,0.049806657,0.601546741,-0.999163519,-0.99903619,0.000127329,-0.000127436,197
Acer platanoides,5,35,8.559844326,14.3794754,5.819631074,4.050666915,9.870297989,1.153093165,0.096887189,0.108201971,0.011314782,0.116783056,0.002724352,0.003074059,0.000349707,0.128363369,57.02255479,38.88966392,-18.13289087,-0.317995062,95.91221871,110.5957239,-14.68350516,41.1152276,5.139403451,54.79699111,1.153093165,-0.153093165,0.05358445,0.571324403,-0.999157632,-0.99922467,-6.70E-05,6.71E-05,197
Acer platanoides,6,25,12.49737842,15.63803653,3.14065811,1.910729284,5.051387394,0.404195762,0.213275837,0.162148702,-0.051127135,-0.239723054,0.002692316,0.002124318,-0.000567998,-0.210970035,46.02980063,49.82158598,3.79178535,0.082376749,95.85138661,38.74272426,57.10866235,30.57458195,3.821822744,65.27680466,0.404195762,0.595804238,0.039872378,0.681020974,-0.999452419,-0.998957811,0.000494608,-0.000494879,197
Acer platanoides,6,30,13.80940639,17.34294153,3.53353514,2.304606954,5.838142094,0.422765608,0.231187806,0.176254075,-0.054933731,-0.237615175,0.004786702,0.003710485,-0.001076217,-0.224834761,83.11174248,54.3817139,-28.73002858,-0.345679536,137.4934564,58.12750473,79.36595165,54.83722055,6.854652568,82.65623583,0.422765608,0.577234392,0.049854391,0.60116487,-0.999309715,-0.999146499,0.000163216,-0.000163329,197
Acer platanoides,6,35,7.233456329,9.460146401,2.226690072,1.549854224,3.776544296,0.52209402,0.074223072,0.049145995,-0.025077077,-0.337860942,0.002252496,0.00148963,-0.000762866,-0.338675851,61.66608103,34.67219855,-26.99388248,-0.437742792,96.33827958,50.29763971,46.04063987,44.93630284,5.617037855,51.40197674,0.52209402,0.47790598,0.058305358,0.533557138,-0.999215607,-0.999163925,5.17E-05,-5.17E-05,197
Acer platanoides,7,30,5.242007173,8.310019382,3.068012209,2.000988243,5.069000452,0.966996092,0.070758062,0.099293287,0.028535225,0.403278781,0.001603679,0.002188551,0.000584872,0.364706403,48.59089258,22.9818681,-25.60902448,-0.527033424,71.57276068,69.21057989,2.362180791,33.73648799,4.217060999,37.83627269,0.966996092,0.033003908,0.058919915,0.528640677,-0.999118191,-0.999160483,-4.23E-05,4.23E-05,197
Acer platanoides,7,35,8.113982315,10.62757671,2.513594395,1.749549675,4.26314407,0.525407119,0.099869929,0.079011494,-0.020858435,-0.208856011,0.002874286,0.00225175,-0.000622536,-0.21658805,58.21884222,39.63487473,-18.58396749,-0.319208812,97.85371695,51.41303948,46.44067747,43.59852513,5.449815641,54.25519182,0.525407119,0.474592881,0.055693496,0.554452028,-0.999076859,-0.998954857,0.000122002,-0.000122115,197
Acer platanoides,8,25,7.755144631,8.656393424,0.901248793,0.548306247,1.44955504,0.186915281,0.097168694,0.107989219,0.010820525,0.11135814,0.001307996,0.001473529,0.000165533,0.126554668,38.18685711,35.82056509,-2.36629202,-0.061966137,74.0074222,13.83311814,60.17430406,28.65789578,3.582236973,45.34952642,0.186915281,0.813084719,0.048403753,0.612769977,-0.999290796,-0.999162025,0.000128771,-0.000128862,197
Acer platanoides,9,25,6.319735691,8.593680742,2.273945051,1.38343406,3.657379111,0.578723429,0.057207605,0.079236842,0.022029237,0.385075323,0.00077715,0.001082103,0.000304953,0.392399151,32.58073064,22.83310753,-9.74762311,-0.299183687,55.41383817,32.06928645,23.34455172,20.08993027,2.511241284,35.3239079,0.578723429,0.421276571,0.045317945,0.637456438,-0.999340101,-0.999150778,0.000189323,-0.000189448,197
Acer platanoides,9,30,5.809436124,6.603033472,0.793597348,0.517592126,1.311189474,0.225699955,0.075408294,0.026912076,-0.048496218,-0.643115172,0.00152671,0.000557993,-0.000968717,-0.634512776,33.09214437,22.81155856,-10.28058581,-0.310665447,55.90370293,12.61746326,43.28623967,21.77730562,2.722163203,34.12639731,0.225699955,0.774300045,0.048693791,0.610449675,-0.999286273,-0.99914987,0.000136403,-0.0001365,197
Acer platanoides,9,35,3.535764209,6.579330505,3.043566296,2.118428667,5.161994963,1.459937557,0.026464677,0.055967957,0.02950328,1.114817309,0.000793393,0.001645974,0.000852581,1.074601112,38.87619501,16.49063559,-22.38555942,-0.575816625,55.3668306,80.83211543,-25.46528483,27.48251584,3.43531448,27.88431476,1.459937557,-0.459937557,0.062046435,0.503628516,-0.999199256,-0.999257432,-5.82E-05,5.82E-05,197
Fagus sylvatica,1,25,5.674225469,6.877796544,1.203571075,0.732234588,1.935805663,0.341157692,0.118936586,0.109167131,-0.009769455,-0.082140032,0.001536228,0.001411096,-0.000125132,-0.081454055,10.94269206,23.94631365,13.00362159,1.188338438,34.88900571,11.90265266,22.98635305,8.128069223,1.016008653,26.76093649,0.341157692,0.658842308,0.02912117,0.767030643,-0.999544372,-0.999161746,0.000382626,-0.0003828,174
Fagus sylvatica,2,25,8.68494592,12.0774915,3.39254558,2.063973843,5.456519423,0.628273276,0.192489216,0.22056926,0.028080044,0.145878531,0.002422697,0.002753507,0.00033081,0.136546171,37.99147843,44.40934447,6.41786604,0.168929094,82.4008229,51.77023493,30.63058797,31.77402615,3.971753268,50.62679675,0.628273276,0.371726724,0.048200408,0.614396737,-0.999431894,-0.999198412,0.000233482,-0.000233615,174
Fagus sylvatica,2,30,10.34041404,14.24167651,3.90126247,2.544442396,6.445704866,0.623350752,0.250500478,0.204904419,-0.045596059,-0.182019848,0.004286212,0.004043707,-0.000242505,-0.056577929,56.57133151,12.66496981,-43.9063617,-0.776123887,69.23630132,43.15850048,26.07780084,18.58309677,2.322887097,50.65320455,0.623350752,0.376649248,0.033550133,0.731598938,-0.999224632,-0.999473031,-0.000248399,0.000248592,174
Fagus sylvatica,2,35,12.09496474,18.73807002,6.64310528,4.623833784,11.26693906,0.931539637,0.256733997,0.250245826,-0.006488171,-0.025271959,0.007760368,0.008010666,0.000250298,0.032253367,63.48822726,62.03152577,-1.45670149,-0.022944435,125.519753,116.9266252,8.593127855,51.42659605,6.428324506,74.09315698,0.931539637,0.068460363,0.051213648,0.590290812,-0.999282424,-0.99903592,0.000246504,-0.000246681,174
Fagus sylvatica,3,25,13.97339349,16.38143844,2.40804495,1.465018427,3.873063377,0.277174144,0.186987306,0.218487053,0.031499747,0.16845928,0.002425518,0.002835641,0.000410123,0.169086768,97.74002061,70.38395832,-27.35606229,-0.279885989,168.1239789,46.59961992,121.524359,74.82026998,9.352533748,93.30370895,0.277174144,0.722825856,0.055628791,0.554969669,-0.999243845,-0.998794145,0.0004497,-0.00045004,174
Fagus sylvatica,3,30,15.00028524,22.84770747,7.84742223,5.118167253,12.96558948,0.864356196,0.241378717,0.233390045,-0.007988672,-0.033096008,0.00399251,0.003949206,-4.33E-05,-0.01084631,86.03357427,85.21054139,-0.82303288,-0.009566415,171.2441157,148.0159123,23.22820333,74.16198313,9.270247892,97.08213253,0.864356196,0.135643804,0.054134695,0.566922444,-0.999157485,-0.998874621,0.000282864,-0.000283103,174
Fagus sylvatica,3,35,13.69119397,24.27940162,10.58820765,7.369763112,17.95797076,1.311643879,0.217765733,0.236686335,0.018920602,0.086885121,0.006413417,0.006754837,0.00034142,0.053235272,126.0299156,89.72240352,-36.30751208,-0.288086459,215.7523191,282.9902087,-67.23788955,107.3250288,13.4156286,108.4272903,1.311643879,-0.311643879,0.062180692,0.50255446,-0.998801993,-0.998739778,6.22E-05,-6.23E-05,174
