"sp","treeid","setTleaf","anet.21p","anet.0p","anet.delta","pr.proxy","gsw.21p","gsw.0p","gsw.delta","gsw.percent","E.21p","E.0p","E.delta","E.percent","ETR.21p","ETR.0p","ETR.delta","ETR.percent","Ca.21p","Ci.21p","C.21p","Ca.0p","Ci.0p","C.0p","Ca.delta","Ci.delta","C.delta","Ca.prop","Ci.prop","C.prop","NPQ.21p","NPQ.0p"
"Acer platanoides","1","25","4.548229394","6.830798378","2.282568984","0.501858808399408","0.030415138","0.045668858","0.01525372","0.50151736940993","0.000407591","0.000616977","0.000209386","0.513715955455346","41.76348469","18.8021544","-22.96133029","-0.549794406775111","418.4160323","171.6629563","246.753076","417.6440323","171.6629563","245.981076","-0.771999999999991","0","-0.771999999999991","-0.00184505358400434","0","-0.00312863374396188","-0.999235389","-0.999160598"
"Acer platanoides","1","30","10.42569738","14.06804817","3.64235079","0.349362796294784","0.163419743","0.12324839","-0.040171353","-0.245817012452406","0.003624564","0.002790567","-0.000833997","-0.23009581290329","59.587367","47.07855936","-12.50880764","-0.209923818919537","415.9992","298.3109744","117.6882256","414.8868667","298.3109744","116.5758923","-1.11233329999999","0","-1.11233329999999","-0.00267388326708318","0","-0.00945152579477746","-0.999182683","-0.999088316"
"Acer platanoides","1","35","10.02979729","15.79742466","5.76762737","0.575049246085013","0.124532211","0.132293131","0.00776092","0.0623205830658544","0.003515803","0.003830112","0.000314309","0.0893989225221095","79.94928635","49.31898561","-30.63030074","-0.383121627951842","416.1154333","268.9644969","147.1509364","414.1616333","268.9644969","145.1971364","-1.9538","0","-1.9538","-0.00469533173644968","0","-0.0132775233906021","-0.998823802","-0.998900124"
"Acer platanoides","2","30","9.42240983","11.68267727","2.26026744","0.23988209818719","0.182659012","0.119748477","-0.062910535","-0.344415171806579","0.003872403","0.002645545","-0.001226858","-0.316820847416966","34.3184495","30.37773379","-3.94071571","-0.114827906488025","416.3172258","318.5997893","97.7174365","415.7033333","318.5997893","97.103544","-0.61389250000002","0","-0.61389250000002","-0.00147457866731399","0","-0.00628232301202478","-0.999451667","-0.999255756"
"Acer platanoides","2","35","4.348076438","9.221238328","4.87316189","1.12076270035435","0.073602448","0.091909783","0.018307335","0.248732691608301","0.002180884","0.002637027","0.000456143","0.209155094906469","40.5757486","17.51759257","-23.05815603","-0.568274322115649","418.2384333","305.2787284","112.9597049","416.4335667","305.2787284","111.1548383","-1.80486660000003","0","-1.80486660000003","-0.00431540111165586","0","-0.0159779684410279","-0.999272027","-0.999393073"
"Acer platanoides","3","30","7.483388816","12.20624096","4.722852144","0.631111420256852","0.095568433","0.132108682","0.036540249","0.382346428134905","0.002127634","0.002968374","0.00084074","0.395152549733648","48.49470716","27.97166643","-20.52304073","-0.423201663271988","417.1950323","277.474947","139.7200853","415.5299","277.474947","138.054953","-1.66513229999998","0","-1.66513229999998","-0.0039912562976124","0","-0.011917630141899","-0.999292835","-0.99935682"
"Acer platanoides","3","35","8.889634801","7.903302642","-0.986332159","-0.110953057249219","0.118316118","0.065038961","-0.053277157","-0.450295005453103","0.003754026","0.002013227","-0.001740799","-0.463715222004323","67.15871372","32.36568646","-34.79302726","-0.518071674288761","416.4982","276.1466477","140.3515523","417.0797667","276.1466477","140.933119","0.581566699999996","0","0.581566699999996","0.00139632464197924","0","0.00414364280600833","-0.999449036","-0.999314144"
"Acer platanoides","4","25","7.641752092","9.385743149","1.743991057","0.22821874303221","0.060876178","0.098220784","0.037344606","0.613451882606691","0.000811307","0.001295769","0.000484462","0.597137704962486","43.84683566","30.56214726","-13.2846884","-0.302979410031159","416.8595","207.3793949","209.4801051","416.6969355","207.3793949","209.3175406","-0.16256450000003","0","-0.16256450000003","-0.00038997431988483","0","-0.000776037895925375","-0.999305503","-0.999192549"
"Acer platanoides","4","30","11.75780806","15.94409491","4.18628685","0.356043135645472","0.171886788","0.198171923","0.026285135","0.152921206486213","0.003720951","0.004337595","0.000616644","0.16572215006325","72.81464708","56.06034981","-16.75429727","-0.230095151756931","415.5791667","290.6265618","124.9526049","414.0818667","290.6265618","123.4553049","-1.4973","0","-1.4973","-0.00360292363038707","0","-0.0119829434624295","-0.99911522","-0.9991778"
"Acer platanoides","4","35","14.23522548","19.64561599","5.41039051","0.380070587403158","0.221644356","0.186486955","-0.035157401","-0.158620781663396","0.006240397","0.005268359","-0.000972038","-0.155765410437829","100.7664443","67.24775985","-33.51868445","-0.332637364381031","414.398871","291.6170202","122.7818508","412.7235806","291.6170202","121.1065604","-1.67529039999999","0","-1.67529039999999","-0.0040427002032059","0","-0.013644446545515","-0.999098893","-0.998976796"
"Acer platanoides","5","25","11.12565617","13.02732127","1.9016651","0.170926107273366","0.167110706","0.153903667","-0.013207039","-0.0790316749664142","0.002153281","0.002021408","-0.000131873","-0.0612428196784348","43.16753823","46.20354464","3.03600641","0.0703307748017485","415.91","299.0382941","116.8717059","415.3734667","299.0382941","116.3351726","-0.536533300000031","0","-0.536533300000031","-0.00129002260104357","0","-0.00459078864185579","-0.999295743","-0.998948506"
"Acer platanoides","5","30","11.19484057","15.82135265","4.62651208","0.413271814910715","0.141080521","0.119938157","-0.021142364","-0.149860263132995","0.002801635","0.002413485","-0.00038815","-0.138544100141524","62.80696165","48.49585652","-14.31110513","-0.227858580546381","415.4443667","274.4728532","140.9715135","413.7150323","274.4728532","139.2421791","-1.72933439999997","0","-1.72933439999997","-0.00416261367012049","0","-0.0122672613570257","-0.999163519","-0.99903619"
"Acer platanoides","5","35","8.559844326","14.3794754","5.819631074","0.679875807591877","0.096887189","0.108201971","0.011314782","0.116783055807306","0.002724352","0.003074059","0.000349707","0.128363368610224","57.02255479","38.88966392","-18.13289087","-0.317995062423614","416.7630333","257.851074","158.9119593","414.7523548","257.851074","156.9012808","-2.01067850000004","0","-2.01067850000004","-0.00482451258711491","0","-0.0126527827663631","-0.999157632","-0.99922467"
"Acer platanoides","6","25","12.49737842","15.63803653","3.14065811","0.25130535416723","0.213275837","0.162148702","-0.051127135","-0.239723054046671","0.002692316","0.002124318","-0.000567998","-0.210970034721036","46.02980063","49.82158598","3.79178535","0.0823767493689447","415.4690667","311.0044053","104.4646614","414.5253667","311.0044053","103.5209614","-0.943699999999978","0","-0.943699999999978","-0.00227140857319566","0","-0.00903367691382742","-0.999452419","-0.998957811"
"Acer platanoides","6","30","13.80940639","17.34294153","3.53353514","0.255878858236715","0.231187806","0.176254075","-0.054933731","-0.237615175084105","0.004786702","0.003710485","-0.001076217","-0.224834760969035","83.11174248","54.3817139","-28.73002858","-0.345679536040453","414.7348","303.3786192","111.3561808","413.6857742","303.3786192","110.307155","-1.04902579999998","0","-1.04902579999998","-0.00252938938328778","0","-0.00942045419000201","-0.999309715","-0.999146499"
"Acer platanoides","6","35","7.233456329","9.460146401","2.226690072","0.307832102762944","0.074223072","0.049145995","-0.025077077","-0.337860941675925","0.002252496","0.00148963","-0.000762866","-0.338675851144686","61.66608103","34.67219855","-26.99388248","-0.43774279197129","417.2649333","243.2968944","173.9680389","416.6127419","243.2968944","173.3158475","-0.652191399999992","0","-0.652191399999992","-0.00156301512049441","0","-0.00374891505430422","-0.999215607","-0.999163925"
"Acer platanoides","7","25","9.299749485","8.384063043","-0.915686442","-0.0984635600643817","0.096949809","0.108007785","0.011057976","0.114058770347861","0.001286041","0.00144576","0.000159719","0.124194329729768","44.21214816","29.87391656","-14.3382316","-0.324305246334359","416.7250333","253.6934952","163.0315381","417.0472258","253.6934952","163.3537306","0.322192499999971","0","0.322192499999971","0.000773153696691951","0","0.00197625872732885","-0.999218997","-0.999005432"
"Acer platanoides","7","30","5.242007173","8.310019382","3.068012209","0.58527432484305","0.070758062","0.099293287","0.028535225","0.403278781151468","0.001603679","0.002188551","0.000584872","0.36470640321411","48.59089258","22.9818681","-25.60902448","-0.527033423760169","418.0318387","285.2887273","132.7431114","416.9612581","285.2887273","131.6725308","-1.07058059999997","0","-1.07058059999997","-0.00256100253829774","0","-0.00806505579618327","-0.999118191","-0.999160483"
