"sp";"treeid";"setTleaf";"anet.21p";"anet.0p";"anet.delta";"pr.CO2";"pr.real";"pr.percent";"gsw.21p";"gsw.0p";"gsw.delta";"gsw.percent";"E.21p";"E.0p";"E.delta";"E.percent";"ETR.21p";"ETR.0p";"ETR.delta";"ETR.percent";"JT";"JO1";"JC1";"JO2";"JC2";"Rp.ETR";"JO1.percent";"JC1.percent";"Rp.ETR.percent";"JC2.percent";"NPQ.21p";"NPQ.0p";"NPQ.delta";"NPQ.percent"
"Acer platanoides";"1";"25";4.548229394;6.830798378;2.282568984;1.38868073133084;3.67124971533084;0.807182179547481;0.030415138;0.045668858;0.01525372;0.50151736940993;0.000407591;0.000616977;0.000209386;0.513715955455346;41.76348469;18.8021544;-22.96133029;-0.549794406775111;60.56563909;48.8875045663523;11.6781345236477;28.2484810093333;3.53106012616667;32.3171580806667;0.807182179547481;0.192817820452519;0.0583013764771729;0.533588988182617;-0.999235389;-0.999160598;7.4790999999963e-05;-7.48482297797831e-05
"Acer platanoides";"1";"30";10.42569738;14.06804817;3.64235079;2.3755776087459;6.0179283987459;0.577220705666205;0.163419743;0.12324839;-0.040171353;-0.245817012452406;0.003624564;0.002790567;-0.000833997;-0.23009581290329;59.587367;47.07855936;-12.50880764;-0.209923818919537;106.66592636;61.5697812840586;45.0961450759414;43.3087578933333;5.41359473666667;63.3571684666667;0.577220705666205;0.422779294333795;0.0507528028997344;0.593977576802125;-0.999182683;-0.999088316;9.43669999999841e-05;-9.44441908427111e-05
"Acer platanoides";"1";"35";10.02979729;15.79742466;5.76762737;4.01447051647795;9.78209788647795;0.975303648083794;0.124532211;0.132293131;0.00776092;0.0623205830658544;0.003515803;0.003830112;0.000314309;0.0893989225221095;79.94928635;49.31898561;-30.63030074;-0.383121627951842;129.26827196;126.075817224076;3.19245473592396;59.4327218666667;7.42909023333333;69.8355500933333;0.975303648083794;0.0246963519162058;0.057470329885992;0.540237360912064;-0.998823802;-0.998900124;-7.6321999999962e-05;7.64118754950956e-05
"Acer platanoides";"2";"30";9.42240983;11.68267727;2.26026744;1.4741690270424;3.7344364670424;0.396335601445856;0.182659012;0.119748477;-0.062910535;-0.344415171806579;0.003872403;0.002645545;-0.001226858;-0.316820847416966;34.3184495;30.37773379;-3.94071571;-0.114827906488025;64.69618329;25.6414007154935;39.0547825745065;18.0043626466667;2.25054533083333;46.6918206433333;0.396335601445856;0.603664398554144;0.034786369402122;0.721709044783024;-0.999451667;-0.999255756;0.000195910999999938;-0.000196018483402997
"Acer platanoides";"2";"35";4.348076438;9.221238328;4.87316189;3.39189123610615;8.26505312610615;1.90085276649549;0.073602448;0.091909783;0.018307335;0.248732691608301;0.002180884;0.002637027;0.000456143;0.209155094906469;40.5757486;17.51759257;-23.05815603;-0.568274322115649;58.09334117;110.426888277961;-52.3335471079608;27.134023612;3.3917529515;30.959317558;1.90085276649549;-0.900852766495489;0.0583845391432148;0.532923686854281;-0.999272027;-0.999393073;-0.000121046000000069;0.000121134182414244
"Acer platanoides";"3";"30";7.483388816;12.20624096;4.722852144;3.08029139683824;7.80314354083824;1.04272859966257;0.095568433;0.132108682;0.036540249;0.382346428134905;0.002127634;0.002968374;0.00084074;0.395152549733648;48.49470716;27.97166643;-20.52304073;-0.423201663271988;76.46637359;79.7336746547759;-3.26730106477588;31.021878884;3.8777348605;45.444494706;1.04272859966257;-0.0427285996625733;0.0507116354345738;0.59430691652341;-0.999292835;-0.99935682;-6.39850000000441e-05;6.40302799729812e-05
"Acer platanoides";"4";"25";7.641752092;9.385743149;1.743991057;1.06101799921294;2.80500905621294;0.367063603011861;0.060876178;0.098220784;0.037344606;0.613451882606691;0.000811307;0.001295769;0.000484462;0.597137704962486;43.84683566;30.56214726;-13.2846884;-0.302979410031159;74.40898292;27.3128293670632;47.0961535529368;29.2279830346667;3.65349787933333;45.1809998853333;0.367063603011861;0.632936396988139;0.0491002260205781;0.607198191835375;-0.999305503;-0.999192549;0.000112953999999998;-0.00011303250073266
"Acer platanoides";"4";"30";11.75780806;15.94409491;4.18628685;2.7303381464385;6.9166249964385;0.588258029144805;0.171886788;0.198171923;0.026285135;0.152921206486213;0.003720951;0.004337595;0.000616644;0.16572215006325;72.81464708;56.06034981;-16.75429727;-0.230095151756931;128.87499689;75.8117516765542;53.0632452134458;54.5625097666667;6.82031372083333;74.3124871233333;0.588258029144805;0.411741970855195;0.0529219312156783;0.576624550274574;-0.99911522;-0.9991778;-6.25800000000343e-05;6.26354185656728e-05
"Acer platanoides";"4";"35";14.23522548;19.64561599;5.41039051;3.76582115862785;9.17621166862785;0.644613018706315;0.221644356;0.186486955;-0.035157401;-0.158620781663396;0.006240397;0.005268359;-0.000972038;-0.155765410437829;100.7664443;67.24775985;-33.51868445;-0.332637364381031;168.01420415;108.304143322671;59.7100608273295;74.0488681533333;9.25610851916667;93.9653359966667;0.644613018706315;0.355386981293685;0.0550912261614678;0.559270190708258;-0.999098893;-0.998976796;0.000122096999999988;-0.000122207121692795
"Acer platanoides";"5";"25";11.12565617;13.02732127;1.9016651;1.1569445218635;3.0586096218635;0.274914987046872;0.167110706;0.153903667;-0.013207039;-0.0790316749664142;0.002153281;0.002021408;-0.000131873;-0.0612428196784348;43.16753823;46.20354464;3.03600641;0.0703307748017485;89.37108287;24.569450089571;64.801632780429;29.91230546;3.7390381825;59.45877741;0.274914987046872;0.725085012953128;0.041837225894855;0.66530219284116;-0.999295743;-0.998948506;0.000347237000000056;-0.000347481716431224
"Acer platanoides";"5";"30";11.19484057;15.82135265;4.62651208;3.0174574436968;7.6439695236968;0.682811825313632;0.141080521;0.119938157;-0.021142364;-0.149860263132995;0.002801635;0.002413485;-0.00038815;-0.138544100141524;62.80696165;48.49585652;-14.31110513;-0.227858580546381;111.30281817;75.998880437209;35.303937732791;44.3489705933333;5.54362132416667;66.9538475766667;0.682811825313632;0.317188174686368;0.0498066573273961;0.601546741380831;-0.999163519;-0.99903619;0.000127329000000009;-0.000127435597456005
"Acer platanoides";"5";"35";8.559844326;14.3794754;5.819631074;4.05066691459159;9.87029798859159;1.15309316532909;0.096887189;0.108201971;0.011314782;0.116783055807306;0.002724352;0.003074059;0.000349707;0.128363368610224;57.02255479;38.88966392;-18.13289087;-0.317995062423614;95.91221871;110.59572386605;-14.6835051560499;41.115227604;5.1394034505;54.796991106;1.15309316532909;-0.15309316532909;0.0535844496105287;0.571324403115771;-0.999157632;-0.99922467;-6.70380000000748e-05;6.70945182752452e-05
"Acer platanoides";"6";"25";12.49737842;15.63803653;3.14065811;1.91072928425235;5.05138739425235;0.404195762062261;0.213275837;0.162148702;-0.051127135;-0.239723054046671;0.002692316;0.002124318;-0.000567998;-0.210970034721036;46.02980063;49.82158598;3.79178535;0.0823767493689447;95.85138661;38.7427242555533;57.1086623544467;30.5745819533333;3.82182274416667;65.2768046566667;0.404195762062261;0.595804237937739;0.039872378265292;0.681020973877664;-0.999452419;-0.998957811;0.000494608000000007;-0.000494878986330221
"Acer platanoides";"6";"30";13.80940639;17.34294153;3.53353514;2.3046069536594;5.8381420936594;0.422765608367284;0.231187806;0.176254075;-0.054933731;-0.237615175084105;0.004786702;0.003710485;-0.001076217;-0.224834760969035;83.11174248;54.3817139;-28.73002858;-0.345679536040453;137.49345638;58.1275047330113;79.3659516469887;54.8372205466667;6.85465256833333;82.6562358333333;0.422765608367284;0.577234391632716;0.0498543912474545;0.601164870020364;-0.999309715;-0.999146499;0.000163216000000022;-0.000163328743381647
"Acer platanoides";"6";"35";7.233456329;9.460146401;2.226690072;1.54985422426452;3.77654429626452;0.522094020409551;0.074223072;0.049145995;-0.025077077;-0.337860941675925;0.002252496;0.00148963;-0.000762866;-0.338675851144686;61.66608103;34.67219855;-26.99388248;-0.43774279197129;96.33827958;50.2976397052615;46.0406398747385;44.9363028426667;5.61703785533333;51.4019767373333;0.522094020409551;0.477905979590449;0.0583053577437918;0.533557138049665;-0.999215607;-0.999163925;5.16820000000529e-05;-5.17225708225481e-05
"Acer platanoides";"7";"30";5.242007173;8.310019382;3.068012209;2.00098824283189;5.06900045183189;0.966996092248936;0.070758062;0.099293287;0.028535225;0.403278781151468;0.001603679;0.002188551;0.000584872;0.36470640321411;48.59089258;22.9818681;-25.60902448;-0.527033423760169;71.57276068;69.2105798890283;2.36218079097173;33.736487992;4.217060999;37.836272688;0.966996092248936;0.0330039077510645;0.0589199153272063;0.52864067738235;-0.999118191;-0.999160483;-4.22920000000548e-05;4.23293263810216e-05
"Acer platanoides";"7";"35";8.113982315;10.62757671;2.513594395;1.74954967472383;4.26314406972383;0.525407118751383;0.099869929;0.079011494;-0.020858435;-0.208856011102201;0.002874286;0.00225175;-0.000622536;-0.216588050040949;58.21884222;39.63487473;-18.58396749;-0.319208812497062;97.85371695;51.4130394818129;46.4406774681871;43.5985251266667;5.44981564083333;54.2551918233333;0.525407118751383;0.474592881248617;0.0556934964833069;0.554452028133545;-0.999076859;-0.998954857;0.00012200200000001;-0.000122114729113158
"Acer platanoides";"8";"25";7.755144631;8.656393424;0.901248792999999;0.548306246929304;1.4495550399293;0.1869152812618;0.097168694;0.107989219;0.010820525;0.111358139690547;0.001307996;0.001473529;0.000165533;0.1265546683629;38.18685711;35.82056509;-2.36629202;-0.0619661370189152;74.0074222;13.8331181359738;60.1743040640262;28.657895784;3.582236973;45.349526416;0.1869152812618;0.8130847187382;0.0484037528468327;0.612769977225338;-0.999290796;-0.999162025;0.000128771000000083;-0.000128862389722324
"Acer platanoides";"9";"25";6.319735691;8.593680742;2.273945051;1.38343405985263;3.65737911085264;0.578723429218906;0.057207605;0.079236842;0.022029237;0.385075323464424;0.00077715;0.001082103;0.000304953;0.3923991507431;32.58073064;22.83310753;-9.74762311;-0.299183686753564;55.41383817;32.0692864519239;23.3445517180761;20.0899302706667;2.51124128383333;35.3239078993333;0.578723429218906;0.421276570781094;0.0453179452419318;0.637456438064545;-0.999340101;-0.999150778;0.000189323000000075;-0.000189448016556752
"Acer platanoides";"9";"30";5.809436124;6.603033472;0.793597348;0.51759212633908;1.31118947433908;0.225699955443572;0.075408294;0.026912076;-0.048496218;-0.643115172450394;0.00152671;0.000557993;-0.000968717;-0.63451277583824;33.09214437;22.81155856;-10.28058581;-0.310665446610343;55.90370293;12.6174632604317;43.2862396695683;21.7773056226667;2.72216320283333;34.1263973073333;0.225699955443572;0.774300044556428;0.048693790574873;0.610449675401016;-0.999286273;-0.99914987;0.000136402999999952;-0.000136500424038099
"Acer platanoides";"9";"35";3.535764209;6.579330505;3.043566296;2.11842866683636;5.16199496283636;1.45993755740185;0.026464677;0.055967957;0.02950328;1.11481730912491;0.000793393;0.001645974;0.000852581;1.07460111193318;38.87619501;16.49063559;-22.38555942;-0.575816625424423;55.3668306;80.8321154272463;-25.4652848272463;27.4825158426667;3.43531448033333;27.8843147573333;1.45993755740185;-0.459937557401854;0.0620464354398739;0.503628516481009;-0.999199256;-0.999257432;-5.81759999999099e-05;5.82226214146719e-05
"Fagus sylvatica";"1";"25";5.674225469;6.877796544;1.203571075;0.732234588463875;1.93580566346388;0.341157691748374;0.118936586;0.109167131;-0.009769455;-0.0821400321680664;0.001536228;0.001411096;-0.000125132;-0.0814540549970447;10.94269206;23.94631365;13.00362159;1.18833843799128;34.88900571;11.9026526554194;22.9863530545806;8.12806922266667;1.01600865283333;26.7609364873333;0.341157691748374;0.658842308251626;0.0291211696108073;0.767030643113542;-0.999544372;-0.999161746;0.000382626000000053;-0.00038280041458735
"Fagus sylvatica";"2";"25";8.68494592;12.0774915;3.39254558;2.0639738426883;5.4565194226883;0.628273275729079;0.192489216;0.22056926;0.028080044;0.145878530670518;0.002422697;0.002753507;0.00033081;0.13654617147749;37.99147843;44.40934447;6.41786604;0.168929094239516;82.4008229;51.7702349261547;30.6305879738453;31.7740261466667;3.97175326833333;50.6267967533333;0.628273275729079;0.371726724270921;0.0482004078181765;0.614396737454588;-0.999431894;-0.999198412;0.000233481999999952;-0.000233614717922892
