sp,ecotype,treeid,tleaf,anet.21p,anet.0p,Rd,corranet,anet.delta,pr.CO2,pr,pr.percent,gsw.21p,gsw.0p,gsw.delta,gsw.percent,E.21p,E.0p,E.delta,E.percent,ETR.21p,ETR.0p,ETR.delta,ETR.percent,JT,JO1,JC1,JO2,JC2,JO1.percent,JC1.percent,JO2.percent,JC2.percent
#,,#,#,,,Calculated,anet.21p - Rd_calc,anet.0p - anet.21p (A),CO2 release correction (B),A+B,pr/anet.21p,C,D,D - C,D-C/C,E,F,F-E,F-E/E,G,H,H-G,H-G/G,,,,,,,,,
Acer platanoides,NA,1,25,4.548229394,6.830798378,0.366558661,4.181670733,2.282568984,1.141284492,3.423853476,0.752788213,0.030415138,0.045668858,0.01525372,0.501517369,0.000407591,0.000616977,0.000209386,0.513715955,41.76348469,18.8021544,-22.96133029,-0.549794407,60.56563909,45.5930992,14.97253989,28.24848101,32.31715808,0.752788213,0.247211787,0.466411012,0.533588988
Acer platanoides,NA,1,30,10.42569738,14.06804817,0.692993232,9.732704148,3.64235079,1.821175395,5.463526185,0.524044194,0.163419743,0.12324839,-0.040171353,-0.245817012,0.003624564,0.002790567,-0.000833997,-0.230095813,59.587367,47.07855936,-12.50880764,-0.209923819,106.6659264,55.89765945,50.76826691,43.30875789,63.35716847,0.524044194,0.475955806,0.406022423,0.593977577
Acer platanoides,NA,1,35,10.02979729,15.79742466,0.671004941,9.358792349,5.76762737,2.883813685,8.651441055,0.862573869,0.124532211,0.132293131,0.00776092,0.062320583,0.003515803,0.003830112,0.000314309,0.089398923,79.94928635,49.31898561,-30.63030074,-0.383121628,129.268272,111.5034335,17.76483846,59.43272187,69.83555009,0.862573869,0.137426131,0.459762639,0.540237361
Acer platanoides,NA,2,30,9.42240983,11.68267727,0.637270642,8.785139188,2.26026744,1.13013372,3.39040116,0.359823147,0.182659012,0.119748477,-0.062910535,-0.344415172,0.003872403,0.002645545,-0.001226858,-0.316820847,34.3184495,30.37773379,-3.94071571,-0.114827906,64.69618329,23.27918429,41.416999,18.00436265,46.69182064,0.359823147,0.640176853,0.278290955,0.721709045
Acer platanoides,NA,2,35,4.348076438,9.221238328,0.355442165,3.992634273,4.87316189,2.436580945,7.309742835,1.681144051,0.073602448,0.091909783,0.018307335,0.248732692,0.002180884,0.002637027,0.000456143,0.209155095,40.5757486,17.51759257,-23.05815603,-0.568274322,58.09334117,97.66327488,-39.56993371,27.13402361,30.95931756,1.681144051,-0.681144051,0.467076313,0.532923687
Acer platanoides,NA,3,30,7.483388816,12.20624096,0.529577415,6.953811401,4.722852144,2.361426072,7.084278216,0.94666713,0.095568433,0.132108682,0.036540249,0.382346428,0.002127634,0.002968374,0.00084074,0.39515255,48.49470716,27.97166643,-20.52304073,-0.423201663,76.46637359,72.38820246,4.078171133,31.02187888,45.44449471,0.94666713,0.05333287,0.405693083,0.594306917
Acer platanoides,NA,4,25,7.641752092,9.385743149,0.538372911,7.103379181,1.743991057,0.871995529,2.615986586,0.342328115,0.060876178,0.098220784,0.037344606,0.613451883,0.000811307,0.001295769,0.000484462,0.597137705,43.84683566,30.56214726,-13.2846884,-0.30297941,74.40898292,25.47228683,48.93669609,29.22798303,45.18099989,0.342328115,0.657671885,0.392801808,0.607198192
Acer platanoides,NA,4,30,11.75780806,15.94409491,0.76697866,10.9908294,4.18628685,2.093143425,6.279430275,0.534064703,0.171886788,0.198171923,0.026285135,0.152921206,0.003720951,0.004337595,0.000616644,0.16572215,72.81464708,56.06034981,-16.75429727,-0.230095152,128.8749969,68.827587,60.04740989,54.56250977,74.31248712,0.534064703,0.465935297,0.42337545,0.57662455
Acer platanoides,NA,4,35,14.23522548,19.64561599,0.904574423,13.33065106,5.41039051,2.705195255,8.115585765,0.570105881,0.221644356,0.186486955,-0.035157401,-0.158620782,0.006240397,0.005268359,-0.000972038,-0.15576541,100.7664443,67.24775985,-33.51868445,-0.332637364,168.0142042,95.7858859,72.22831825,74.04886815,93.965336,0.570105881,0.429894119,0.440729809,0.559270191
