"sp";"treeid";"setTleaf";"anet.21p";"anet.0p";"Rd";"corranet";"anet.delta";"pr.real";"gsw.21p";"gsw.0p";"gsw.delta";"gsw.percent";"E.21p";"E.0p";"E.delta";"E.percent";"ETR.21p";"ETR.0p";"ETR.delta";"ETR.percent";"NPQ.21p";"NPQ.0p";"NPQ.delta";"NPQ.percent"
"Acer platanoides";"1";"25";4.548229394;6.830798378;0.36655866054276;4.18167073345724;2.64912764454276;0.633509382588946;0.030415138;0.045668858;0.01525372;0.50151736940993;0.000407591;0.000616977;0.000209386;0.513715955455346;41.76348469;18.8021544;-22.96133029;-0.549794406775111;-0.999235389;-0.999160598;7.4790999999963e-05;-7.48482297797831e-05
"Acer platanoides";"1";"30";10.42569738;14.06804817;0.6929932324852;9.7327041475148;4.3353440224852;0.445440851460815;0.163419743;0.12324839;-0.040171353;-0.245817012452406;0.003624564;0.002790567;-0.000833997;-0.23009581290329;59.587367;47.07855936;-12.50880764;-0.209923818919537;-0.999182683;-0.999088316;9.43669999999841e-05;-9.44441908427111e-05
"Acer platanoides";"1";"35";10.02979729;15.79742466;0.6710049414866;9.3587923485134;6.4386323114866;0.687976832022494;0.124532211;0.132293131;0.00776092;0.0623205830658544;0.003515803;0.003830112;0.000314309;0.0893989225221095;79.94928635;49.31898561;-30.63030074;-0.383121627951842;-0.998823802;-0.998900124;-7.6321999999962e-05;7.64118754950956e-05
"Acer platanoides";"2";"30";9.42240983;11.68267727;0.6372706419582;8.7851391880418;2.8975380819582;0.32982267212138;0.182659012;0.119748477;-0.062910535;-0.344415171806579;0.003872403;0.002645545;-0.001226858;-0.316820847416966;34.3184495;30.37773379;-3.94071571;-0.114827906488025;-0.999451667;-0.999255756;0.000195910999999938;-0.000196018483402997
"Acer platanoides";"2";"35";4.348076438;9.221238328;0.35544216536652;3.99263427263348;5.22860405536652;1.30956248389808;0.073602448;0.091909783;0.018307335;0.248732691608301;0.002180884;0.002637027;0.000456143;0.209155094906469;40.5757486;17.51759257;-23.05815603;-0.568274322115649;-0.999272027;-0.999393073;-0.000121046000000069;0.000121134182414244
"Acer platanoides";"3";"30";7.483388816;12.20624096;0.52957741484064;6.95381140115936;5.25242955884064;0.755331034425947;0.095568433;0.132108682;0.036540249;0.382346428134905;0.002127634;0.002968374;0.00084074;0.395152549733648;48.49470716;27.97166643;-20.52304073;-0.423201663271988;-0.999292835;-0.99935682;-6.39850000000441e-05;6.40302799729812e-05
"Acer platanoides";"3";"35";8.889634801;7.903302642;0.60768031684754;8.28195448415246;-0.378651842152459;-0.0457201066338883;0.118316118;0.065038961;-0.053277157;-0.450295005453103;0.003754026;0.002013227;-0.001740799;-0.463715222004323;67.15871372;32.36568646;-34.79302726;-0.518071674288761;-0.999449036;-0.999314144;0.000134892000000053;-0.000134966361606509
"Acer platanoides";"4";"25";7.641752092;9.385743149;0.53837291118968;7.10337918081032;2.28236396818968;0.321306790767337;0.060876178;0.098220784;0.037344606;0.613451882606691;0.000811307;0.001295769;0.000484462;0.597137704962486;43.84683566;30.56214726;-13.2846884;-0.302979410031159;-0.999305503;-0.999192549;0.000112953999999998;-0.00011303250073266
"Acer platanoides";"4";"30";11.75780806;15.94409491;0.7669786596524;10.9908294003476;4.9532655096524;0.450672586137653;0.171886788;0.198171923;0.026285135;0.152921206486213;0.003720951;0.004337595;0.000616644;0.16572215006325;72.81464708;56.06034981;-16.75429727;-0.230095151756931;-0.99911522;-0.9991778;-6.25800000000343e-05;6.26354185656728e-05
"Acer platanoides";"4";"35";14.23522548;19.64561599;0.9045744231592;13.3306510568408;6.3149649331592;0.473717668119337;0.221644356;0.186486955;-0.035157401;-0.158620781663396;0.006240397;0.005268359;-0.000972038;-0.155765410437829;100.7664443;67.24775985;-33.51868445;-0.332637364381031;-0.999098893;-0.998976796;0.000122096999999988;-0.000122207121692795
