"sp";"treeid";"setTleaf";"anet.21p";"anet.0p";"Rd";"corranet";"anet.delta";"pr.CO2";"pr.real";"pr.percent";"gsw.21p";"gsw.0p";"gsw.delta";"gsw.percent";"E.21p";"E.0p";"E.delta";"E.percent";"ETR.21p";"ETR.0p";"ETR.delta";"ETR.percent";"JT";"JO1";"JC1";"JO2";"JC2";"JO1.percent";"JC1.percent";"JO2.percent";"JC2.percent";"NPQ.21p";"NPQ.0p";"NPQ.delta";"NPQ.percent"
"Acer platanoides";"1";"25";4.548229394;6.830798378;0.36655866054276;4.18167073345724;2.282568984;1.141284492;3.423853476;0.752788212599112;0.030415138;0.045668858;0.01525372;0.50151736940993;0.000407591;0.000616977;0.000209386;0.513715955455346;41.76348469;18.8021544;-22.96133029;-0.549794406775111;60.56563909;45.593099195484;14.972539894516;28.2484810093333;32.3171580806667;0.752788212599112;0.247211787400888;0.466411011817383;0.533588988182617;-0.999235389;-0.999160598;7.4790999999963e-05;-7.48482297797831e-05
"Acer platanoides";"1";"30";10.42569738;14.06804817;0.6929932324852;9.7327041475148;3.64235079;1.821175395;5.463526185;0.524044194442176;0.163419743;0.12324839;-0.040171353;-0.245817012452406;0.003624564;0.002790567;-0.000833997;-0.23009581290329;59.587367;47.07855936;-12.50880764;-0.209923818919537;106.66592636;55.8976594537546;50.7682669062454;43.3087578933333;63.3571684666667;0.524044194442176;0.475955805557824;0.406022423197875;0.593977576802125;-0.999182683;-0.999088316;9.43669999999841e-05;-9.44441908427111e-05
"Acer platanoides";"1";"35";10.02979729;15.79742466;0.6710049414866;9.3587923485134;5.76762737;2.883813685;8.651441055;0.862573869127519;0.124532211;0.132293131;0.00776092;0.0623205830658544;0.003515803;0.003830112;0.000314309;0.0893989225221095;79.94928635;49.31898561;-30.63030074;-0.383121627951842;129.26827196;111.503433499966;17.7648384600344;59.4327218666667;69.8355500933333;0.862573869127519;0.137426130872481;0.459762639087936;0.540237360912064;-0.998823802;-0.998900124;-7.6321999999962e-05;7.64118754950956e-05
"Acer platanoides";"2";"30";9.42240983;11.68267727;0.6372706419582;8.7851391880418;2.26026744;1.13013372;3.39040116;0.359823147280784;0.182659012;0.119748477;-0.062910535;-0.344415171806579;0.003872403;0.002645545;-0.001226858;-0.316820847416966;34.3184495;30.37773379;-3.94071571;-0.114827906488025;64.69618329;23.2791842884623;41.4169990015377;18.0043626466667;46.6918206433333;0.359823147280784;0.640176852719216;0.278290955216976;0.721709044783024;-0.999451667;-0.999255756;0.000195910999999938;-0.000196018483402997
"Acer platanoides";"2";"35";4.348076438;9.221238328;0.35544216536652;3.99263427263348;4.87316189;2.436580945;7.309742835;1.68114405053152;0.073602448;0.091909783;0.018307335;0.248732691608301;0.002180884;0.002637027;0.000456143;0.209155094906469;40.5757486;17.51759257;-23.05815603;-0.568274322115649;58.09334117;97.6632748834435;-39.5699337134435;27.134023612;30.959317558;1.68114405053152;-0.681144050531524;0.467076313145719;0.532923686854281;-0.999272027;-0.999393073;-0.000121046000000069;0.000121134182414244
"Acer platanoides";"3";"30";7.483388816;12.20624096;0.52957741484064;6.95381140115936;4.722852144;2.361426072;7.084278216;0.946667130385278;0.095568433;0.132108682;0.036540249;0.382346428134905;0.002127634;0.002968374;0.00084074;0.395152549733648;48.49470716;27.97166643;-20.52304073;-0.423201663271988;76.46637359;72.3882024574139;4.07817113258611;31.021878884;45.444494706;0.946667130385278;0.0533328696147222;0.40569308347659;0.59430691652341;-0.999292835;-0.99935682;-6.39850000000441e-05;6.40302799729812e-05
"Acer platanoides";"4";"25";7.641752092;9.385743149;0.53837291118968;7.10337918081032;1.743991057;0.8719955285;2.6159865855;0.342328114548315;0.060876178;0.098220784;0.037344606;0.613451882606691;0.000811307;0.001295769;0.000484462;0.597137704962486;43.84683566;30.56214726;-13.2846884;-0.302979410031159;74.40898292;25.4722868284613;48.9366960915386;29.2279830346667;45.1809998853333;0.342328114548315;0.657671885451685;0.392801808164625;0.607198191835375;-0.999305503;-0.999192549;0.000112953999999998;-0.00011303250073266
"Acer platanoides";"4";"30";11.75780806;15.94409491;0.7669786596524;10.9908294003476;4.18628685;2.093143425;6.279430275;0.534064703468207;0.171886788;0.198171923;0.026285135;0.152921206486213;0.003720951;0.004337595;0.000616644;0.16572215006325;72.81464708;56.06034981;-16.75429727;-0.230095151756931;128.87499689;68.827586998524;60.047409891476;54.5625097666667;74.3124871233333;0.534064703468207;0.465935296531793;0.423375449725426;0.576624550274574;-0.99911522;-0.9991778;-6.25800000000343e-05;6.26354185656728e-05
"Acer platanoides";"4";"35";14.23522548;19.64561599;0.9045744231592;13.3306510568408;5.41039051;2.705195255;8.115585765;0.570105881104737;0.221644356;0.186486955;-0.035157401;-0.158620781663396;0.006240397;0.005268359;-0.000972038;-0.155765410437829;100.7664443;67.24775985;-33.51868445;-0.332637364381031;168.01420415;95.7858858950469;72.2283182549532;74.0488681533333;93.9653359966667;0.570105881104737;0.429894118895263;0.440729809291742;0.559270190708258;-0.999098893;-0.998976796;0.000122096999999988;-0.000122207121692795
"Acer platanoides";"5";"25";11.12565617;13.02732127;0.7318689436818;10.3937872263182;1.9016651;0.95083255;2.85249765;0.256389160910048;0.167110706;0.153903667;-0.013207039;-0.0790316749664142;0.002153281;0.002021408;-0.000131873;-0.0612428196784348;43.16753823;46.20354464;3.03600641;0.0703307748017485;89.37108287;22.9137769466617;66.4573059233383;29.91230546;59.45877741;0.256389160910048;0.743610839089952;0.33469780715884;0.66530219284116;-0.999295743;-0.998948506;0.000347237000000056;-0.000347481716431224
"Acer platanoides";"5";"30";11.19484057;15.82135265;0.7357114452578;10.4591291247422;4.62651208;2.31325604;6.93976812;0.619907722366072;0.141080521;0.119938157;-0.021142364;-0.149860263132995;0.002801635;0.002413485;-0.00038815;-0.138544100141524;62.80696165;48.49585652;-14.31110513;-0.227858580546381;111.30281817;68.9974765046897;42.3053416653103;44.3489705933333;66.9538475766667;0.619907722366072;0.380092277633928;0.398453258619169;0.601546741380831;-0.999163519;-0.99903619;0.000127329000000009;-0.000127435597456005
"Acer platanoides";"5";"35";8.559844326;14.3794754;0.58936375386604;7.97048057213396;5.819631074;2.909815537;8.729446611;1.01981371138782;0.096887189;0.108201971;0.011314782;0.116783055807306;0.002724352;0.003074059;0.000349707;0.128363368610224;57.02255479;38.88966392;-18.13289087;-0.317995062423614;95.91221871;97.812595730085;-1.90037702008503;41.115227604;54.796991106;1.01981371138782;-0.0198137113878161;0.428675596884229;0.571324403115771;-0.999157632;-0.99922467;-6.70380000000748e-05;6.70945182752452e-05
"Acer platanoides";"6";"25";12.49737842;15.63803653;0.8080543974468;11.6893240225532;3.14065811;1.570329055;4.710987165;0.376958031250845;0.213275837;0.162148702;-0.051127135;-0.239723054046671;0.002692316;0.002124318;-0.000567998;-0.210970034721036;46.02980063;49.82158598;3.79178535;0.0823767493689447;95.85138661;36.1319499891692;59.7194366208308;30.5745819533333;65.2768046566667;0.376958031250845;0.623041968749155;0.318979026122336;0.681020973877664;-0.999452419;-0.998957811;0.000494608000000007;-0.000494878986330221
"Acer platanoides";"6";"30";13.80940639;17.34294153;0.8809244309006;12.9284819590994;3.53353514;1.76676757;5.30030271;0.383818287355073;0.231187806;0.176254075;-0.054933731;-0.237615175084105;0.004786702;0.003710485;-0.001076217;-0.224834760969035;83.11174248;54.3817139;-28.73002858;-0.345679536040453;137.49345638;52.772502950301;84.720953429699;54.8372205466667;82.6562358333333;0.383818287355073;0.616181712644927;0.398835129979636;0.601164870020364;-0.999309715;-0.999146499;0.000163216000000022;-0.000163328743381647
"Acer platanoides";"6";"35";7.233456329;9.460146401;0.51569616451266;6.71776016448734;2.226690072;1.113345036;3.340035108;0.461748154144417;0.074223072;0.049145995;-0.025077077;-0.337860941675925;0.002252496;0.00148963;-0.000762866;-0.338675851144686;61.66608103;34.67219855;-26.99388248;-0.43774279197129;96.33827958;44.4840227695138;51.8542568104862;44.9363028426667;51.4019767373333;0.461748154144417;0.538251845855583;0.466442861950334;0.533557138049665;-0.999215607;-0.999163925;5.16820000000529e-05;-5.17225708225481e-05
"Acer platanoides";"7";"30";5.242007173;8.310019382;0.40509107838842;4.83691609461158;3.068012209;1.5340061045;4.6020183135;0.877911487264575;0.070758062;0.099293287;0.028535225;0.403278781151468;0.001603679;0.002188551;0.000584872;0.36470640321411;48.59089258;22.9818681;-25.60902448;-0.527033423760169;71.57276068;62.8345487762103;8.7382119037897;33.736487992;37.836272688;0.877911487264575;0.122088512735425;0.47135932261765;0.52864067738235;-0.999118191;-0.999160483;-4.22920000000548e-05;4.23293263810216e-05
"Acer platanoides";"7";"35";8.113982315;10.62757671;0.5646005777751;7.5493817372249;2.513594395;1.2567971975;3.7703915925;0.464678310369228;0.099869929;0.079011494;-0.020858435;-0.208856011102201;0.002874286;0.00225175;-0.000622536;-0.216588050040949;58.21884222;39.63487473;-18.58396749;-0.319208812497062;97.85371695;45.4704998556747;52.3832170943253;43.5985251266667;54.2551918233333;0.464678310369228;0.535321689630772;0.445547971866455;0.554452028133545;-0.999076859;-0.998954857;0.00012200200000001;-0.000122114729113158
