"sp";"treeid";"tleaf";"anet.21p";"anet.0p";"Rp.M1";"phi.M1";"gsw.21p";"gsw.0p";"gsw.delta";"gsw.percent";"E.21p";"E.0p";"E.delta";"E.percent";"ETR.21p";"ETR.0p";"ETR.delta";"ETR.percent";"JT";"Rp.ETR";"phi.ETR"
"1";"15";NA;7.483388816;12.20624096;4.722852144;0.631111420256852;0.095568433;0.132108682;0.036540249;0.382346428134905;0.002127634;0.002968374;0.00084074;0.395152549733648;48.49470716;27.97166643;-20.52304073;-0.423201663271988;76.46637359;3.54440152716667;0.473635890679433
"1";"34";NA;7.755144631;8.656393424;0.901248792999999;0.116213021920622;0.097168694;0.107989219;0.010820525;0.111358139690547;0.001307996;0.001473529;0.000165533;0.1265546683629;38.18685711;35.82056509;-2.36629202;-0.0619661370189152;74.0074222;3.24890363966667;0.418935273841273
"5";"1";NA;5.674225469;6.877796544;1.203571075;0.212111958112252;0.118936586;0.109167131;-0.009769455;-0.0821400321680664;0.001536228;0.001411096;-0.000125132;-0.0814540549970447;10.94269206;23.94631365;13.00362159;1.18833843799128;34.88900571;0.6826753195;0.12031163076435
"5";"34";NA;7.036040127;7.918180624;0.882140497;0.125374568802541;0.135935902;0.130275757;-0.00566014500000001;-0.0416383377512734;0.0017425;0.00171383;-2.867e-05;-0.0164533715925394;9.438951246;29.24880057;19.809849324;2.09873415040627;38.687751816;0.545299275666667;0.0775008763202108
"5";"35";NA;5.403083029;9.072700894;3.669617865;0.679171103850161;0.061724308;0.097991616;0.036267308;0.587569292797904;0.000824171;0.00127741;0.000453239;0.54993320560903;17.86607444;30.99895905;13.13288461;0.735073877258512;48.86503349;1.9377251145;0.358633229232206
"2";"15";NA;12.29752468;17.39314761;5.09562293;0.414361675426213;0.14117519;0.157133406;0.015958216;0.113038388685717;0.002426963;0.00268173;0.000254767;0.104973582209535;100.2440213;69.7060084;-30.5380129;-0.304636750441295;169.9500297;9.72999424833333;0.791215671569877
"2";"16";NA;15.19964411;16.11925782;0.919613710000002;0.060502318563826;0.230912795;0.225166914;-0.00574588100000001;-0.0248833374521321;0.002890727;0.002820919;-6.98080000000002e-05;-0.0241489424632628;84.08462626;71.83886756;-12.2457587;-0.145636119760283;155.92349382;7.593743115;0.499600060372729
"2";"17";NA;12.09141349;17.0836679;4.99225441;0.412875997841671;0.199276025;0.153200461;-0.046075564;-0.231214788633003;0.005532129;0.00425919;-0.001272939;-0.230099298118319;109.986559;58.08311809;-51.90344091;-0.471907125578863;168.06967709;9.6420019275;0.797425539658722
"4";"33";NA;4.546156294;6.907196001;2.361039707;0.519348556079361;0.104096292;0.185358997;0.081262705;0.780649372217792;0.001405371;0.0024077;0.001002329;0.713213094620566;14.06328389;24.30494512;10.24166123;0.728255314342517;38.36822901;1.34863365283333;0.296653604851477
"6";"25";NA;10.64853411;16.35098644;5.70245233;0.535515242858155;0.170973452;0.157026603;-0.013946849;-0.0815731848240393;0.00286755;0.002678639;-0.000188911;-0.0658788861571725;76.29815567;70.98484529;-5.31331038;-0.0696387787272447;147.28300096;8.39073871;0.78797124780962
"6";"26";NA;7.451540319;9.801529475;2.349989156;0.315369582045739;0.084942819;0.084789567;-0.000153252000000006;-0.00180417840853629;0.001489454;0.001484327;-5.12700000000017e-06;-0.00344220096760301;80.07550283;46.43371427;-33.64178856;-0.42012584836865;126.5092171;7.725254652;1.03673258430906
"6";"27";NA;9.097805106;14.87299212;5.775187014;0.634789044908345;0.166844708;0.128441232;-0.038403476;-0.230174972046461;0.002829513;0.002271602;-0.000557911;-0.197175627042533;59.08720408;58.31611884;-0.771085239999998;-0.0130499530652356;117.40332292;6.417675208;0.705409176524077
"6";"30";NA;7.277198738;10.23253768;2.955338942;0.406109417703249;0.088728485;0.07501455;-0.013713935;-0.154560680259558;0.002532099;0.002191841;-0.000340258;-0.134377842256563;70.35506696;42.65477842;-27.70028854;-0.393721301633454;113.00984538;6.658420869;0.914970321509996
"6";"31";NA;6.867866678;9.763101508;2.89523483;0.421562468484482;0.081141014;0.074988292;-0.006152722;-0.0758275217019102;0.002364224;0.002065915;-0.000298309;-0.126176284480658;62.24550879;48.28743056;-13.95807823;-0.224242334930395;110.53293935;6.58845605316667;0.959316242155897
"6";"32";NA;12.81417979;20.21982313;7.40564334;0.577925662146496;0.197189321;0.196188251;-0.00100106999999999;-0.00507669479728059;0.005027805;0.005298843;0.000271038;0.0539078186206506;108.3007572;80.74863291;-27.55212429;-0.254403801065945;189.04939011;11.1493892458333;0.870082161211298
"7";"1";NA;8.44874745;9.09388351;0.645136059999999;0.0763587814428041;0.071682187;0.078481976;0.006799789;0.0948602335472828;0.000947652;0.001055341;0.000107689;0.113637706668693;54.63390518;38.96781233;-15.66609285;-0.286746715219891;93.60171751;4.6505606425;0.55044379892075
"7";"2";NA;4.49278627;7.718366837;3.225580567;0.717946586628969;0.054509622;0.054036547;-0.000473075000000003;-0.00867874299330132;0.000734815;0.00071025;-2.45649999999999e-05;-0.0334301831073126;24.59692079;26.64973199;2.0528112;0.0834580562959971;51.24665278;2.43962564166667;0.543009503469362
"7";"3";NA;11.65369744;15.34772346;3.69402602;0.316983175427283;0.179027463;0.174063743;-0.00496372;-0.0277260254757674;0.002241911;0.002181112;-6.07990000000003e-05;-0.0271192745831571;68.62065582;56.36657233;-12.25408349;-0.17857718413744;124.98722815;6.19770319916667;0.531822902651801
